"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Update(PUT) Posts","0","0","1","0","0"
"","","Update(PUT) Post","1","0","0","0","0"
"","","CREATE User","2","0","3","0","0"
"","","CREATE Todo","0","0","2","0","0"
"","","GET Photo","0","0","1","0","0"
"","","DELETE User","0","0","2","0","0"
"","","PERFORMANCE","0","0","1","0","0"
"","","GET Posts","0","0","3","0","0"
"","","","1","0","3","0","0"
"","","UPDATE(PUT) User","1","0","1","0","0"
"","","CREATE Photo","1","0","1","0","0"
"","","GET User","0","0","2","0","0"
"","","CREATE Album","0","0","2","0","0"
"","","DELETE Post","1","0","0","0","0"
"","","GET Todo","0","0","1","0","0"
"","","UPDATE(PUT) Post","1","0","0","0","0"
"","","SECURITY","2","0","0","0","0"
"","","DELETE Posts","0","0","1","0","0"
"","","CREAT Comment","1","0","1","0","0"
"","","POST Posts","1","0","0","0","0"
"","","CREATE Posts","0","0","1","0","0"
"","","GET Album","0","0","1","0","0"
"","","GET Users","0","0","1","0","0"
"","","GET Comment","0","0","1","0","0"
